timestamp,open,high,low,close,volume,EMA_short,EMA_medium,EMA_long
2025-05-16 09:15:00+05:30,803.7,804.0,794.55,795.8,1166281,795.8,795.8,795.8
2025-05-16 09:20:00+05:30,795.8,796.9,794.55,796.0,696084,795.8666666666668,795.8181818181818,795.80625
2025-05-16 09:25:00+05:30,796.0,796.85,795.3,796.6,405655,796.1111111111112,795.889256198347,795.8310546874999
2025-05-16 09:30:00+05:30,796.6,797.95,795.05,795.3,548106,795.8407407407408,795.8356874530426,795.8144592285155
2025-05-16 09:35:00+05:30,795.3,796.0,795.0,795.2,337234,795.6271604938272,795.7778976845841,795.7952573776244
2025-05-16 09:40:00+05:30,795.3,796.6,795.0,795.65,331347,795.6347736625514,795.7662706223492,795.7907180845737
2025-05-16 09:45:00+05:30,795.65,796.25,795.4,796.0,195830,795.7565157750344,795.7875187475902,795.7972581444308
2025-05-16 09:50:00+05:30,796.0,796.05,794.05,794.25,431514,795.254343850023,795.6477443159911,795.7489063274173
2025-05-16 09:55:00+05:30,794.25,795.6,794.0,794.05,231961,794.8528959000154,795.5024948327191,795.6958155046855
2025-05-16 10:00:00+05:30,794.1,795.8,794.0,795.65,133102,795.1185972666769,795.515904393381,795.6943837701641
2025-05-16 10:05:00+05:30,795.6,796.7,795.5,795.7,195664,795.3123981777848,795.5326403576191,795.6945592773465
2025-05-16 10:10:00+05:30,796.0,796.3,795.75,796.1,74612,795.5749321185233,795.5842185069265,795.7072292999293
2025-05-16 10:15:00+05:30,796.1,796.95,796.0,796.85,147001,795.9999547456823,795.6992895517513,795.7429408843064
2025-05-16 10:20:00+05:30,796.75,797.5,796.0,796.3,189243,796.0999698304549,795.7538995925012,795.7603489816719
2025-05-16 10:25:00+05:30,796.15,796.7,795.75,795.9,87963,796.0333132203033,795.7671814477284,795.7647130759947
2025-05-16 10:30:00+05:30,795.9,796.4,795.5,795.55,101600,795.8722088135355,795.7474376797531,795.7580032923698
2025-05-16 10:35:00+05:30,795.5,795.65,794.25,794.8,321591,795.5148058756904,795.6613069815937,795.7280656894833
2025-05-16 10:40:00+05:30,794.8,795.7,794.8,795.1,147784,795.3765372504603,795.6102790741761,795.7084386366869
2025-05-16 10:45:00+05:30,795.1,795.2,794.5,794.6,113946,795.1176915003069,795.5184355219783,795.6737999292903
2025-05-16 10:50:00+05:30,794.55,795.0,794.2,794.3,167558,794.8451276668713,795.407668656344,795.6308686815
2025-05-16 10:55:00+05:30,794.35,795.5,794.2,795.45,83410,795.0467517779143,795.4115169603127,795.6252165352032
2025-05-16 11:00:00+05:30,795.3,795.45,794.2,794.9,169263,794.9978345186096,795.3650154184661,795.6025535184782
2025-05-16 11:05:00+05:30,794.85,795.2,793.2,793.45,313511,794.4818896790731,795.1909231076964,795.5352862210258
2025-05-16 11:10:00+05:30,793.5,794.8,793.3,794.8,111459,794.5879264527155,795.1553846433604,795.5123085266187
2025-05-16 11:15:00+05:30,794.65,794.65,794.0,794.15,102499,794.4419509684769,795.0639860394186,795.4697363851619
2025-05-16 11:20:00+05:30,794.15,794.2,793.5,793.8,130666,794.227967312318,794.9490782176532,795.4175571231256
2025-05-16 11:25:00+05:30,793.7,793.85,793.0,793.15,166195,793.8686448748788,794.785525652412,795.346695963028
2025-05-16 11:30:00+05:30,793.15,794.0,792.6,793.5,133538,793.7457632499193,794.6686596840109,795.2889867141834
2025-05-16 11:35:00+05:30,793.5,793.9,792.7,792.95,140272,793.4805088332796,794.5124178945554,795.2158933793652
2025-05-16 11:40:00+05:30,792.9,793.1,792.75,793.05,144302,793.3370058888531,794.3794708132322,795.14820921126
2025-05-16 11:45:00+05:30,793.05,793.6,792.9,793.3,79516,793.3246705925687,794.2813371029383,795.0904526734081
2025-05-16 11:50:00+05:30,793.3,793.4,793.05,793.1,76591,793.249780395046,794.173942820853,795.028251027364
2025-05-16 11:55:00+05:30,793.15,793.5,792.5,792.55,117811,793.016520263364,794.0263116553208,794.9508056827589
2025-05-16 12:00:00+05:30,792.55,793.0,792.5,792.85,83761,792.9610135089093,793.9193742321098,794.8851555051726
2025-05-16 12:05:00+05:30,792.85,793.25,792.8,792.9,109686,792.9406756726063,793.8267038473725,794.823119395636
2025-05-16 12:10:00+05:30,792.85,793.0,792.0,792.05,242432,792.6437837817376,793.6651853157932,794.7364594145224
2025-05-16 12:15:00+05:30,792.05,792.5,792.0,792.35,92508,792.5458558544918,793.5456230143574,794.6618825578186
2025-05-16 12:20:00+05:30,792.35,792.85,791.3,791.5,305993,792.197237236328,793.3596572857795,794.5630737278867
2025-05-16 12:25:00+05:30,791.45,791.75,791.25,791.4,116347,791.9314914908854,793.1815066234359,794.4642276738903
2025-05-16 12:30:00+05:30,791.45,792.9,791.0,792.85,208455,792.2376609939237,793.151369657669,794.4137830590812
2025-05-16 12:35:00+05:30,792.9,793.45,792.5,792.9,157433,792.4584406626158,793.1285178706082,794.366477338485
2025-05-16 12:40:00+05:30,792.9,793.5,792.9,793.3,63409,792.7389604417439,793.1441071550984,794.3331499216573
2025-05-16 12:45:00+05:30,793.35,793.85,793.2,793.35,101622,792.942640294496,793.1628246864531,794.3024264866054
2025-05-16 12:50:00+05:30,793.35,793.8,793.05,793.6,66692,793.1617601963306,793.2025678967755,794.2804756588989
2025-05-16 12:55:00+05:30,793.6,793.6,793.0,793.25,71462,793.1911734642205,793.2068799061595,794.2482732945583
