timestamp,open,high,low,close,volume,ema_fast,ema_med,ema_long,ema_macro,ema_ultra_len,rsi,atr,swing_high,swing_low,in_session,rsi_trend,isLongTrend,isShortTrend,exit_time
2025-05-15 09:15:00+05:30,400.0,401.35,397.7,400.55,188326,,,,,,,,,,True,,False,False,False
2025-05-15 09:20:00+05:30,400.65,403.8,400.55,403.15,210479,,,,,,,,,,True,,False,False,False
2025-05-15 09:25:00+05:30,403.25,407.3,403.05,407.05,415920,,,,,,,,,,True,,False,False,False
2025-05-15 09:30:00+05:30,407.05,407.25,402.1,402.65,559486,,,,,,,,,,True,,False,False,False
2025-05-15 09:35:00+05:30,402.55,402.55,400.3,400.6,286962,402.8,,,,,,,,,True,,False,False,False
2025-05-15 09:40:00+05:30,400.6,400.7,399.35,400.45,203479,402.02,,,,,,,,,True,,False,False,False
2025-05-15 09:45:00+05:30,400.4,401.0,399.0,399.2,152126,401.08,,,,,,,,,True,,False,False,False
2025-05-15 09:50:00+05:30,399.25,400.3,398.6,399.9,96471,400.69,,,,,,,,,True,,False,False,False
2025-05-15 09:55:00+05:30,399.85,400.25,399.35,399.85,58911,400.41,,,,,,,,,True,,False,False,False
2025-05-15 10:00:00+05:30,399.8,400.7,399.8,400.15,49954,400.32,,,,,,,,,True,,False,False,False
2025-05-15 10:05:00+05:30,400.15,400.45,399.75,400.05,34259,400.23,,,,,,,,,True,,False,False,False
2025-05-15 10:10:00+05:30,400.1,400.5,399.8,399.95,27342,400.14,,,,,,,,,True,,False,False,False
2025-05-15 10:15:00+05:30,400.1,400.45,399.8,400.0,20749,400.09,,,,,,,,,True,,False,False,False
2025-05-15 10:20:00+05:30,400.0,400.45,399.7,399.8,48085,399.99,,,,,,,,,True,,False,False,False
2025-05-15 10:25:00+05:30,399.8,400.2,399.4,399.75,33116,399.91,,,,,44.22,1.5,,,True,,False,False,False
2025-05-15 10:30:00+05:30,399.75,400.4,399.6,400.05,33052,399.96,,,,,46.56,1.42,,,True,,False,False,False
2025-05-15 10:35:00+05:30,400.0,400.85,400.0,400.7,34465,400.21,,,,,51.33,1.36,,,True,,False,False,False
2025-05-15 10:40:00+05:30,400.75,401.3,399.7,399.8,45809,400.07,,,,,45.3,1.39,,,True,,False,False,False
2025-05-15 10:45:00+05:30,399.8,400.95,399.55,400.5,54373,400.21,,,,,50.2,1.39,,,True,,False,False,False
2025-05-15 10:50:00+05:30,400.5,400.75,399.7,399.9,28767,400.11,400.7,,,,46.37,1.36,,,True,,False,False,False
2025-05-15 10:55:00+05:30,399.9,400.35,399.85,400.2,23135,400.14,400.65,,,,48.48,1.28,,,True,,False,False,False
2025-05-15 11:00:00+05:30,400.2,400.3,399.1,399.5,37154,399.93,400.54,,,,44.11,1.27,,,True,,False,False,False
2025-05-15 11:05:00+05:30,399.45,399.55,399.15,399.3,34551,399.72,400.43,,,,42.92,1.19,,,True,,False,False,False
2025-05-15 11:10:00+05:30,399.35,399.5,398.75,398.95,53702,399.46,400.29,,,,40.84,1.15,,,True,,False,False,False
2025-05-15 11:15:00+05:30,399.0,399.7,398.95,399.5,48745,399.47,400.21,,,,45.32,1.12,,,True,,False,False,False
2025-05-15 11:20:00+05:30,399.55,399.55,398.65,398.75,25565,399.23,400.07,,,,40.78,1.1,,,True,,False,False,False
2025-05-15 11:25:00+05:30,398.75,399.7,398.75,399.55,13950,399.34,400.02,,,,46.89,1.09,,,True,,False,False,False
2025-05-15 11:30:00+05:30,399.55,399.7,399.2,399.7,31319,399.46,399.99,,,,47.98,1.04,,,True,,False,False,False
2025-05-15 11:35:00+05:30,399.55,400.0,399.2,399.65,51567,399.52,399.96,,,,47.63,1.02,,,True,,False,False,False
2025-05-15 11:40:00+05:30,399.65,400.1,399.6,399.95,25749,399.67,399.96,,,,49.98,0.98,407.3,397.7,True,,False,False,False
2025-05-15 11:45:00+05:30,399.95,400.2,399.55,399.95,77594,399.76,399.96,,,,49.98,0.95,407.3,398.6,True,,False,False,False
2025-05-15 11:50:00+05:30,399.95,400.2,399.6,399.95,33429,399.82,399.96,,,,49.98,0.92,407.3,398.6,True,,False,False,False
2025-05-15 11:55:00+05:30,399.95,400.15,399.65,399.8,24101,399.82,399.94,,,,48.61,0.89,407.25,398.6,True,,False,False,False
2025-05-15 12:00:00+05:30,399.8,399.95,399.5,399.9,40974,399.84,399.94,,,,49.6,0.86,402.55,398.6,True,,False,False,False
2025-05-15 12:05:00+05:30,399.9,399.95,399.55,399.9,31311,399.86,399.93,,,,49.6,0.82,401.3,398.6,True,,False,False,False
2025-05-15 12:10:00+05:30,399.85,400.25,399.45,399.9,126779,399.87,399.93,,,,49.6,0.82,401.3,398.6,True,,False,False,False
2025-05-15 12:15:00+05:30,399.9,400.65,399.7,399.85,149408,399.87,399.92,,,,49.01,0.83,401.3,398.6,True,,False,False,False
2025-05-15 12:20:00+05:30,399.9,400.7,399.7,400.45,38553,400.06,399.97,,,,55.78,0.84,401.3,398.65,True,,False,False,False
2025-05-15 12:25:00+05:30,400.45,403.2,400.4,402.55,204927,400.89,400.22,,,,70.53,0.99,403.2,398.65,True,,False,False,False
2025-05-15 12:30:00+05:30,402.55,402.55,399.95,402.0,316465,401.26,400.39,,,,64.47,1.11,403.2,398.65,True,,False,False,False
2025-05-15 12:35:00+05:30,402.0,402.9,401.5,401.8,82638,401.44,400.52,,,,62.37,1.13,403.2,398.65,True,,False,False,False
2025-05-15 12:40:00+05:30,401.85,402.55,401.65,402.1,43521,401.66,400.67,,,,64.25,1.12,403.2,398.65,True,,False,False,False
2025-05-15 12:45:00+05:30,402.2,402.3,401.8,401.9,42873,401.74,400.79,,,,62.02,1.07,403.2,398.65,True,,False,False,False
2025-05-15 12:50:00+05:30,401.95,402.0,401.65,401.8,39662,401.76,400.89,,,,60.89,1.02,403.2,398.65,True,,False,False,False
